LAT;;;;;48.2085;48.2085
LON;;;;;16.3721;16.3721
ASL;;;;;171.000;171.000
CITY;;;;;Vienna;Vienna
DOMAIN;;;;;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;sfc
NAME;;;;;Temperature;Total Precipitation (high resolution)
UNIT;;;;;°C;mm
AGGREGATION;;;;;;
UTC_OFFSET;;;;;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc]
2020;01;06;12;00;2.73;0.00
2020;01;06;13;00;3.48;0.00
2020;01;06;14;00;3.86;0.00
2020;01;06;15;00;3.70;0.00
2020;01;06;16;00;2.83;0.00
2020;01;06;17;00;1.71;0.00
2020;01;06;18;00;0.40;0.00
2020;01;06;19;00;-0.63;0.00
2020;01;06;20;00;-1.04;0.00
2020;01;06;21;00;-1.12;0.00
2020;01;06;22;00;-1.22;0.00
2020;01;06;23;00;-1.27;0.00
2020;01;07;00;00;-1.40;0.00
2020;01;07;01;00;-1.64;0.00
2020;01;07;02;00;-1.68;0.00
2020;01;07;03;00;-1.83;0.00
2020;01;07;04;00;-1.91;0.00
2020;01;07;05;00;-1.89;0.00
2020;01;07;06;00;-2.11;0.00
2020;01;07;07;00;-2.12;0.00
2020;01;07;08;00;-2.02;0.00
2020;01;07;09;00;-0.16;0.00
2020;01;07;10;00;2.37;0.00
2020;01;07;11;00;3.88;0.00
2020;01;07;12;00;4.94;0.00
2020;01;07;13;00;6.34;0.00
2020;01;07;14;00;6.52;0.00
2020;01;07;15;00;6.54;0.00
2020;01;07;16;00;5.79;0.00
2020;01;07;17;00;4.73;0.00
2020;01;07;18;00;3.36;0.00
2020;01;07;19;00;2.89;0.00
2020;01;07;20;00;2.64;0.00
2020;01;07;21;00;2.91;0.00
2020;01;07;22;00;2.85;0.00
2020;01;07;23;00;2.49;0.00
2020;01;08;00;00;2.17;0.00
2020;01;08;01;00;1.82;0.00
2020;01;08;02;00;1.65;0.00
2020;01;08;03;00;1.93;0.00
2020;01;08;04;00;1.57;0.00
2020;01;08;05;00;0.07;0.00
2020;01;08;06;00;-0.27;0.00
2020;01;08;07;00;-0.21;0.00
2020;01;08;08;00;-0.03;0.00
2020;01;08;09;00;0.68;0.00
2020;01;08;10;00;1.31;0.00
2020;01;08;11;00;2.48;0.00
2020;01;08;12;00;3.97;0.00
2020;01;08;13;00;5.45;0.00
2020;01;08;14;00;6.56;0.00
2020;01;08;15;00;6.66;0.00
2020;01;08;16;00;6.12;0.00
2020;01;08;17;00;5.68;0.00
2020;01;08;18;00;4.68;0.00
2020;01;08;19;00;3.61;0.00
2020;01;08;20;00;3.02;0.00
2020;01;08;21;00;2.98;0.00
2020;01;08;22;00;3.15;0.00
2020;01;08;23;00;3.02;0.00
